_id,ltable_ID,rtable_ID,ltable_Title,ltable_Genres,ltable_Type,ltable_ProductionHouse,ltable_Year,rtable_Title,rtable_Genres,rtable_Type,rtable_ProductionHouse,rtable_Year,gold
11597,609,2087,Supernatural The Animation,"['Action', 'Demons', 'Horror', 'Supernatural']",OVA,"['Madhouse', 'Warner Bros.']",2011-2011,Shinshaku Sengoku Eiyuu Densetsu Sanada Juu Yuushi The Animation,"['Feudal Japan', 'Historical', 'Ninja', 'War']",TV Special,['Magic Bus'],2005,
11671,2307,2093,Dual Parallel! Trouble Adventures,"['Action', 'Comedy', 'Harem', 'Mecha', 'Sci-Fi', 'Shounen']",TV,"['Geneon Universal Entertainment', 'AIC']",1999-1999,Dr Pinoko's Adventure,"['Family Friendly', 'Shorts']",Movie,[''],2005,
11728,955,2098,Toshokan Sensou Special,"['Action', 'Comedy', 'Drama', 'Military', 'Romance']",Special,['Production I.G'],2008-2008,Zettai Karen Children - Chou Sakidori Special,['Recap'],DVD Special,['Synergy SP'],2010,
11874,2445,2106,Jinzou Ningen Kikaider The Animation (Android Kikaider),"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",TV,"['Aniplex', 'Radix', 'SME Visual Works', 'Bandai Entertainment']",2000-2001,Gunslinger Stratos: The Animation,"['Action', 'Based on a Video Game', 'Gunfights', 'Sci Fi']",TV,['A-1 Pictures'],2015,
11936,1072,2116,Dragon Ball Specials,"['Comedy', 'Fantasy', 'Shounen', 'Super Power']",Special,['Toei Animation'],1988-1988,No Game No Life Specials,"['Comedy', 'Ecchi']",DVD Special,['MADHOUSE'],2014,
11954,1137,2116,Wagaya no Oinari-sama. Specials,"['Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Supernatural']",Special,"['None found', 'add some']",2008-2009,No Game No Life Specials,"['Comedy', 'Ecchi']",DVD Special,['MADHOUSE'],2014,
12017,953,2124,Mobile Suit Gundam Seed Special Edition,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Special,"['Sunrise', 'Asatsu DK', 'Bandai Entertainment', 'Atelier Musa']",2004-2004,Umi Monogatari ~Anata ga Ite Kureta Koto~ Special,['Fantasy'],DVD Special,['Zexcs'],2010,
12135,967,2155,Kuroshitsuji Picture Drama,"['Demons', 'Supernatural']",Special,['A-1 Pictures'],2010-2010,Princess Lover! Picture Drama,['Picture Drama'],DVD Special,[''],2009 - 2010,
12227,955,2165,Toshokan Sensou Special,"['Action', 'Comedy', 'Drama', 'Military', 'Romance']",Special,['Production I.G'],2008-2008,Nodame Cantabile: Finale Special,"['Classical Music', 'Comedy', 'Europe', 'Music', 'Romance']",DVD Special,['J.C.Staff'],2010,
12253,1212,2165,Gokukoku no Brynhildr Special (Brynhildr in the Darkness Special),"['Comedy', 'Ecchi', 'Harem', 'Sci-Fi', 'Seinen']",Special,"['VAP', 'Arms', 'Sentai Filmworks']",2014-2014,Nodame Cantabile: Finale Special,"['Classical Music', 'Comedy', 'Europe', 'Music', 'Romance']",DVD Special,['J.C.Staff'],2010,
12381,1371,2196,Initial D Fourth Stage,"['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",TV,"['OB Planning', 'FUNimation Entertainment', 'A.C.G.T.', 'Studio Jack']",2004-2006,Initial D Third Stage,"['Cars', 'Drama', 'Racing', 'Seinen']",Movie,['Pastel'],2001,
12384,1444,2196,Initial D Second Stage,"['Action', 'Cars', 'Drama', 'Seinen', 'Sports']",TV,"['OB Planning', 'FUNimation Entertainment', 'Fuji TV', 'Pastel']",1999-2000,Initial D Third Stage,"['Cars', 'Drama', 'Racing', 'Seinen']",Movie,['Pastel'],2001,
12468,609,2213,Supernatural The Animation,"['Action', 'Demons', 'Horror', 'Supernatural']",OVA,"['Madhouse', 'Warner Bros.']",2011-2011,Panda-Z: The Robonimation,"['Animal Protagonists', 'Comedy', 'Family Friendly', 'Mecha']",TV,['Synergy SP'],2004,
12798,3007,2274,Happiness!,"['Comedy', 'Harem', 'Magic', 'Romance', 'School']",TV,"['Artland', 'Maiden Japan', 'Delphi Sound']",2006-2006,Happiness Charge Pretty Cure! Movie: Ningyou no Kuni no Ballerina,"['Magical Girl', 'Shoujo']",Movie,['Toei Animation'],2014,
12923,1119,2290,Machine-Doll wa Kizutsukanai Specials,"['Action', 'Ecchi', 'Fantasy', 'School', 'Seinen']",Special,"['Genco', 'FUNimation Entertainment', 'Lerche']",2013-2014,Etotama Specials,"['Based on a Manga', 'Comedy', 'Fantasy', 'Slice of Life']",DVD Special,['Encourage Films'],2015,
12926,1125,2290,Teekyuu 2 Specials,"['Comedy', 'School', 'Shounen', 'Sports']",Special,"['MAPPA', 'Earth Star Entertainment']",2013-2013,Etotama Specials,"['Based on a Manga', 'Comedy', 'Fantasy', 'Slice of Life']",DVD Special,['Encourage Films'],2015,
12936,1172,2290,No Game No Life Specials,"['Ecchi', 'Fantasy', 'Game']",Special,"['Madhouse', 'Media Factory', 'Sentai Filmworks']",2014-2014,Etotama Specials,"['Based on a Manga', 'Comedy', 'Fantasy', 'Slice of Life']",DVD Special,['Encourage Films'],2015,
12966,2509,2297,Bakuten Shoot Beyblade G Revolution (Beyblade G Revolution),"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Sports']",TV,"['Madhouse', 'd-rights', 'Nelvana']",2003-2003,Beyblade - The Movie,"['Action', 'Shounen']",Movie,['Nihon-Animedia'],2002,
13034,1123,2302,Di Gi Charat Tsuyu Specials,['Comedy'],Special,['Madhouse'],2001-2001,Souten no Ken Specials,"['[]""']""",DVD Special,[''],2007,
13081,1702,2304,Persona 4 The Animation,"['Adventure', 'Mystery', 'School', 'Sci-Fi', 'Super Power', 'Supernatural']",TV,"['Aniplex', 'AIC A.S.T.A.', 'Mainichi Broadcasting', 'Sentai Filmworks', 'ASCII Media Works', 'Index']",2011-2012,Quiz Magic Academy ~The Original Animation 2~,"['Comedy', 'Fantasy', 'Magic', 'Magic School', 'School Life']",OVA,['AIC PLUS+'],2010,
13381,1726,2360,Heroic Age,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",TV,"['Xebec', 'Starchild Records', 'FUNimation Entertainment']",2007-2007,Neo Heroic Fantasia Arion,"['Based on a Manga', 'Fantasy']",Movie,['Sunrise'],1986,
13530,1082,2375,Toaru Kagaku no Railgun Specials,['Comedy'],Special,['J.C.Staff'],2010-2010,Freezing Vibration Specials,"['Ecchi', 'Explicit Sex', 'Panty Shots']",DVD Special,[''],2013 - 2014,
13543,1130,2375,Teekyuu 3 Specials,"['Comedy', 'School', 'Shounen', 'Sports']",Special,"['MAPPA', 'Earth Star Entertainment']",2014-2014,Freezing Vibration Specials,"['Ecchi', 'Explicit Sex', 'Panty Shots']",DVD Special,[''],2013 - 2014,
13645,2371,2387,Yu☆Gi☆Oh! Zexal Second,"['Action', 'Fantasy', 'Game', 'Shounen']",TV,"['TV Tokyo', 'Studio Gallop', 'NAS']",2012-2014,Yu-Gi-Oh! Zexal II: Midokoro Tenkomori Special,"['Card Battles', 'Recap', 'Shounen']",TV Special,['NAS'],2012,
13735,1869,2429,Miracle Giants Doumu-kun,['Sports'],TV,['Yomiko Advertising'],1989-1990,Miracle Train ~Ooedo-sen e Youkoso~,"['Drama', 'Episodic', 'Slice of Life', 'Supernatural', 'Trains']",TV,['Yumeta'],2009,
13767,2754,2447,Bakuten Shoot Beyblade (Beyblade),"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Sports']",TV,"['Madhouse', 'd-rights', 'Nelvana', 'Heewon Entertainment']",2001-2001,Beyblade V-Force,"['Action', 'Based on a Manga', 'Family Friendly', 'Monsters', 'Sci Fi', 'Shounen']",TV,['MADHOUSE'],2002,
13860,828,2452,Mobile Suit SD Gundam Mk II,"['Mecha', 'Parody', 'Sci-Fi']",OVA,['Sunrise'],1989-1989,Mobile Suit SD Gundam Mk V,"['Comedy', 'Mecha', 'Parody']",OVA,['Sunrise'],1990,
14108,2626,2490,Maple Town Monogatari (Maple Town),"['Fantasy', 'Slice of Life']",TV,['Toei Animation'],1986-1987,Heisei Inu Monogatari Bow,"['Comedy', 'Slice of Life']",TV,['Nippon Animation'],1993 - 1994,
14116,297,2492,Umi ni Ochita Tsuki no Hanashi (The Moon That Fell Into the Sea),['Kids'],Movie,"['None found', 'add some']",2013-2013,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,['Harem'],TV,['Radix'],2004,
14306,1103,2561,Genshiken Nidaime Specials,"['Comedy', 'Parody', 'Slice of Life']",Special,"['Production I.G', 'Starchild Records']",2013-2013,Wedding Peach Specials,"['[]""']""",DVD Special,[''],1995,
14374,2946,2582,Dororon Enma-kun Meeramera (Ghastly Prince Enma Burning Up),"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Super Power', 'Supernatural']",TV,"['Brains Base', 'Mainichi Broadcasting', 'NIS America', 'Inc.', 'Dynamic Planning']",2011-2011,Ghastly Prince Enma Burning Up,"['Comedy', 'Crude', 'Ecchi', 'Fantasy', 'Shounen', 'Superpowers']",TV,['Brains-Base'],2011,
14443,999,2615,Suisei no Gargantia Specials,"['Action', 'Mecha', 'Sci-Fi']",Special,"['Production I.G', 'Viz Media']",2013-2013,Pretty Rhythm: Aurora Dream Specials,"['Idols', 'Music']",DVD Special,['Tatsunoko Pro.'],2011 - 2012,
14455,1043,2615,Mokke Specials (Mokke Special Episodes),"['Mystery', 'Slice of Life', 'Supernatural']",Special,"['Madhouse', 'Kodansha']",2008-2008,Pretty Rhythm: Aurora Dream Specials,"['Idols', 'Music']",DVD Special,['Tatsunoko Pro.'],2011 - 2012,
14521,828,2633,Mobile Suit SD Gundam Mk II,"['Mecha', 'Parody', 'Sci-Fi']",OVA,['Sunrise'],1989-1989,Mobile Suit Gundam-san,"['Comedy', 'Mecha', 'Parody']",TV,['Gathering'],2014,
14611,2428,2660,Tom Sawyer no Bouken (The Adventures of Tom Sawyer),"['Adventure', 'Drama', 'Historical', 'Slice of Life']",TV,['Nippon Animation'],1980-1980,Adventures of Tom Sawyer,"['America', 'Based on a Novel', 'Family Friendly', 'World Masterpiece Theater']",TV,['Nippon Animation'],1980,
14702,3127,2674,Rokushin Gattai GodMars (Six God Combination Godmars),"['Action', 'Mecha', 'Sci-Fi', 'Space']",TV,['Tokyo Movie Shinsha'],1981-1982,Rokushin Gattai God Mars Juunanasai no Densetsu,"['[]""']""",OVA,[''],1988,
14900,1146,2733,Otome wa Boku ni Koishiteru Special,"['Comedy', 'Romance', 'School']",Special,['Feel'],2007-2007,Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,['Recap'],OVA,[''],2008,
15008,403,2756,Tokyo Ravens Specials,"['Shounen', 'Supernatural']",ONA,"['Geneon Universal Entertainment', 'FUNimation Entertainment', 'Tokyo MX']",2013-2014,Tamako Market Specials,"['Comedy', 'Picture Drama']",DVD Special,['Kyoto Animation'],2013,
15151,1381,2779,Saiunkoku Monogatari 2nd Season (Tales of Saiunkoku),"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']",TV,"['Madhouse', 'NHK', 'Sogo Vision']",2007-2008,True Tears: Raigomaru to Jibeta no Monogatari,"['[]""']""",Other,['P.A. Works'],2010,
15169,2542,2779,Ai Shoujo Pollyanna Monogatari,"['Drama', 'Historical', 'Slice of Life']",TV,['Nippon Animation'],1986-1986,True Tears: Raigomaru to Jibeta no Monogatari,"['[]""']""",Other,['P.A. Works'],2010,
15570,101,2852,Tibet Inu Monogatari (The Tibetan Dog),['Adventure'],Movie,['Madhouse'],2011-2011,Gokujo. Gokurakuin Joshikou Ryou Monogatari,"['Based on a Manga', 'Comedy', 'Ecchi', 'Nudity', 'School Life']",TV,['LMD'],2012,
15573,257,2852,Chocchan Monogatari,"['Drama', 'Historical', 'Slice of Life']",Movie,['Triangle Staff'],1996-1996,Gokujo. Gokurakuin Joshikou Ryou Monogatari,"['Based on a Manga', 'Comedy', 'Ecchi', 'Nudity', 'School Life']",TV,['LMD'],2012,
15817,2653,2897,Dondon Domeru to Ron,"['Comedy', 'Kids']",TV,['Telescreen BV'],1988-1989,Dondon Domeru to Ron,['Comedy'],TV,[''],1988 - 1989,
15854,765,2908,The Hakkenden (The Hakkenden: Legend of the Dog Warriors),"['Action', 'Adventure', 'Demons', 'Historical', 'Martial Arts', 'Samurai', 'Shounen']",OVA,"['AIC', 'Pioneer LDC']",1990-1991,Song of the Oden,['Food'],Music Video,[''],2012,
15895,718,2924,Mahou Shoujo-tai Arusu the Adventure,"['Adventure', 'Comedy', 'Fantasy', 'Magic']",OVA,['Studio 4°C'],2007-2007,Adventures of Kotetsu,"['Action', 'Based on a Manga', 'Comedy', 'Ecchi', 'Martial Arts', 'Swordplay']",OVA,['Project Team Sara'],1996 - 1997,
15958,980,2939,Galaxy Angel 3 Specials,"['Comedy', 'Sci-Fi']",Special,"['Broccoli', 'Bandai Entertainment']",2003-2003,Queen's Blade: Rebellion Specials,['Ecchi'],DVD Special,['ARMS'],2012,
16226,1239,2974,Robot Girls Z Specials,"['Comedy', 'Parody']",Special,"['Toei Animation', 'Nippon Columbia', 'LandQ studios']",2014-2014,Queen's Blade OVA Specials,"['Ecchi', 'Explicit Sex']",DVD Special,[''],2011 - 2012,
16276,1551,2992,Mobile Suit Gundam Wing,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",TV,"['Sunrise', 'TV Asahi', 'Bandai Entertainment']",1995-1996,Mobile Suit Gundam 0083: Stardust Memory - The Mayfly of Space,"['Mecha', 'Sci Fi']",Other,['Sunrise'],1992,
16426,420,3023,Monster Strike,"['Action', 'Fantasy', 'Game']",ONA,"['Studio Hibari', 'Ultra Super Pictures']",2015 -2015,Monster Strike,"['Based on a Video Game', 'Fantasy', 'Monsters']",Web,['Studio Hibari'],2015 - ?,
16469,2546,3047,Dragon Crisis!,"['Action', 'Magic', 'Romance', 'School', 'Seinen', 'Supernatural']",TV,"['Studio Deen', 'Yomiuri Telecasting Corporation', 'Starchild Records', 'Kids Station', 'DAX Production']",2011-2011,Chaos Dragon: Red Dragon Campaign,"['Based on a Video Game', 'Fantasy']",TV,['CONNECT'],2015,
16554,158,3093,Digimon Adventure 02 Movie (Digimon: The Movie),"['Adventure', 'Fantasy', 'Kids', 'Sci-Fi']",Movie,"['Toei Animation', 'Bandai Visual']",2000-2000,Adventures of the Little Koala,"['Animal Protagonists', 'Family Friendly', 'Original Work']",TV,['Top Craft'],1984 - 1985,
16619,1149,3112,Mini Van Special,"['Comedy', 'Game']",Special,['DLE'],2013-2013,Soul Link Special,['Recap'],TV Special,['Picture Magic'],2006,
16684,1173,3129,Shinmai Maou no Testament Specials,"['Comedy', 'Ecchi']",Special,['Production IMS'],2015-2015,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials,"['[]""']""",DVD Special,[''],2012 - 2013,
16725,1227,3132,eX-Driver the Movie Specials,['Comedy'],Special,"['Bandai Visual', 'Genco']",2002-2002,Ao no Exorcist Movie Special,['Comedy'],Other,[''],2012,
16772,3095,3143,Ai no Wakakusa Yama Monogatari,['Comedy'],TV,['Gainax'],1999-1999,Teito Monogatari,"['Based on a Novel', 'Demons', 'Explicit Violence', 'Fantasy', 'Horror', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Supernatural', 'Superpowers']",OVA,['Toei Animation'],1991 - 1992,
16871,2947,3179,Duel Masters Cross Shock,"['Action', 'Adventure', 'Comedy', 'Shounen']",TV,['Shogakukan Productions'],2010-2011,Duel Masters Victory,"['Based on a Manga', 'Card Battles', 'Family Friendly', 'Shounen']",TV,['Shogakukan Music & Digital Entertainment'],2011 - 2012,
16938,2721,3197,Ray The Animation (Ray),"['Drama', 'Romance', 'Sci-Fi']",TV,"['Oriental Light and Magic', 'Touhouku Shinsha', 'Maiden Japan']",2006-2006,SoniAni: Super Sonico The Animation,"['Comedy', 'Ecchi', 'Music', 'Slice of Life']",TV,['WHITE FOX'],2014,
16997,1004,3205,Bokura wa Minna Kawaisou Specials,['Comedy'],Special,['Brains Base'],2014-2015,Kamisama Dolls Specials,"['[]""']""",DVD Special,['Brains-Base'],2011 - 2012,
17036,1057,3216,Dual Parallel! Trouble Adventures Special,"['Comedy', 'Drama', 'Harem', 'Mecha', 'Romance', 'Sci-Fi']",Special,['AIC'],1999-1999,Adventures of the Polar Cubs,"['Adventure', 'Animal Protagonists', 'Based on a Novel', 'Family Friendly']",Movie,['Mushi Pro'],1979,
17062,618,3220,JoJo no Kimyou na Bouken (2000) (JoJo&#039;s Bizarre Adventure),"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Shounen', 'Supernatural', 'Vampire']",OVA,['APPP'],2000-2000,One Piece: Episode of Luffy - The Hand Island Adventure,"['Pirates', 'Shounen']",TV Special,['Toei Animation'],2012,
17070,2223,3220,Robin Hood no Daibouken (The Great Adventures of Robin Hood),"['Adventure', 'Historical', 'Romance']",TV,"['Tatsunoko Productions', 'NHK', 'NHK Enterprises']",1990-1992,One Piece: Episode of Luffy - The Hand Island Adventure,"['Pirates', 'Shounen']",TV Special,['Toei Animation'],2012,
17145,2239,3245,Toaru Hikuushi e no Koiuta (The Pilot&#039;s Love Song),"['Adventure', 'Drama', 'Romance']",TV,"['Bandai Visual', 'TMS Entertainment', 'NIS America', 'Inc.', '3xCube', 'ZERO-A']",2014-2014,To Aru Hikuushi e no Tsuioku,"['Aviation', 'Based on a Light Novel', 'Military', 'Romance', 'War']",Movie,['MADHOUSE'],2011,
17175,208,3250,Yuu☆Yuu☆Hakusho (Movie) (Yu Yu Hakusho: The Movie),"['Action', 'Adventure', 'Comedy']",Movie,"['Studio Pierrot', 'FUNimation Entertainment', 'Media Blasters']",1993-1993,Case Closed Movie 1: The Time Bombed Skyscraper,['Detectives'],Movie,['TMS Entertainment'],1997,
17451,609,3283,Supernatural The Animation,"['Action', 'Demons', 'Horror', 'Supernatural']",OVA,"['Madhouse', 'Warner Bros.']",2011-2011,Kyoto Animation: Ajisai-hen,"['Original Work', 'Promotional']",Other,['Kyoto Animation'],2011,
17551,2273,3291,Taiho Shichau zo Special (You&#039;re Under Arrest Mini Specials),"['Action', 'Comedy', 'Police', 'Shounen']",TV,['TBS'],1999-1999,Yuusha ni Nare Nakatta Ore wa Shibushibu Shuushoku o Ketsui Shimashita. Specials,"['Based on a Light Novel', 'Comedy']",DVD Special,['asread'],2014,
17577,704,3297,Zettai Karen Children Gentei Kaikin!! OVA Chou Sakidori Special!!,"['Action', 'Comedy', 'Shounen', 'Supernatural']",OVA,['SynergySP'],2010-2010,Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka Special,"['Based on a Light Novel', 'Comedy', 'Magic', 'Magic School']",DVD Special,[''],2015,
17655,3126,3314,Mahou Tsukai Sally 2,"['Comedy', 'Magic', 'Shoujo']",TV,"['None found', 'add some']",1989-1990,Kaiketsu Zorori: Mahou Tsukai no Deshi / Dai Kaizoku no Takara Sagashi,"['[]""']""",Movie,[''],1993,
17778,993,3328,Mahoromatic Summer Special,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",Special,"['Gainax', 'Shaft', 'Sentai Filmworks']",2003-2003,Phantom Quest Corp Special,"['[]""']""",DVD Special,[''],,
17890,2495,3343,Samurai Deeper Kyou (Samurai Deeper Kyo),"['Adventure', 'Comedy', 'Historical', 'Shounen', 'Supernatural']",TV,"['Studio Deen', 'Starchild Records', 'Media Blasters', 'NYAV Post']",2002-2002,Samurai Spirits 2: Asura Zanmaden,['Action'],OVA,['Asiadou'],1999,
17926,999,3360,Suisei no Gargantia Specials,"['Action', 'Mecha', 'Sci-Fi']",Special,"['Production I.G', 'Viz Media']",2013-2013,Maken-ki! Two Specials,"['[]""']""",DVD Special,['XEBEC'],2014,
17992,2411,3376,Kagaku Ninja-tai Gatchaman (Battle of the Planets),"['Action', 'Adventure', 'Sci-Fi', 'Shounen']",TV,"['ADV Films', 'Tatsunoko Productions', 'Sentai Filmworks']",1972-1974,Aura Battle Dunbine: The Tale of Neo Byston Well,['Original Work'],OVA,['Sunrise'],1988,
18036,1184,3383,Joshi Kousei Specials (High School Girls Specials),"['Ecchi', 'School', 'Slice of Life']",Special,['Arms'],2006-2006,Shining Hearts: Shiawase no Pan Specials,['Omake'],DVD Special,[''],2012,
18039,2273,3383,Taiho Shichau zo Special (You&#039;re Under Arrest Mini Specials),"['Action', 'Comedy', 'Police', 'Shounen']",TV,['TBS'],1999-1999,Shining Hearts: Shiawase no Pan Specials,['Omake'],DVD Special,[''],2012,
18066,2461,3386,Heisei Inu Monogatari Bow (Heisei Period Dog Tale Bow),"['Adventure', 'Comedy']",TV,"['Nippon Animation', 'Daiichi Kosho Co.']",1993-1994,Senya Ichiya Monogatari,"['Abstract', 'Based on a Fairy Tale', 'Fantasy', 'Nudity', 'Sexual Content', 'Violence']",Movie,['Mushi Pro'],1969,
18150,1169,3390,Fight Ippatsu! Juuden-chan!! Specials,"['Comedy', 'Ecchi']",Special,"['Studio Hibari', 'Media Blasters']",2009-2010,Robot Girls Z Specials,"['Action', 'Comedy', 'Parody']",DVD Special,['Toei Animation'],2014,
18172,1565,3395,Toaru Majutsu no Index II (A Certain Magical Index II),"['Action', 'Magic', 'Sci-Fi', 'Super Power']",TV,"['J.C.Staff', 'Geneon Universal Entertainment', 'Square Enix', 'FUNimation Entertainment', 'AT-X', 'ASCII Media Works', 'Delphi Sound']",2010-2011,Mahou no Star Magical Emi Semishigure,"['[]""']""",OVA,[''],1986,
18186,2952,3402,Sasuga no Sarutobi (Amazing Sarutobi),"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Romance', 'Sports']",TV,"['NAS', 'Asatsu DK']",1982-1984,Amazing Nurse Nanako,"['Comedy', 'Ecchi', 'Military', 'Original Work', 'Sci Fi']",OVA,['GENCO'],1999,
18260,2038,3425,Mangaka-san to Assistant-san to The Animation,"['Comedy', 'Ecchi', 'Harem', 'Seinen', 'Slice of Life']",TV,"['Lantis', 'Zexcs', 'Magic Capsule', 'Sentai Filmworks']",2014-2014,Master of Epic: The Animation Age,"['Adventure', 'Based on a Video Game', 'Comedy', 'MMORPG', 'Parody']",TV,['GONZO'],2007,
18296,2580,3442,Bakuretsu Tenshi (Burst Angel),"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi', 'Shounen']",TV,"['Gonzo', 'GDH', 'TV Asahi', 'FUNimation Entertainment', 'Imagica']",2004-2004,Kaitou Tenshi Twin Angel,"['Comedy', 'Magical Girl', 'Shoujo']",OVA,['Nomad'],2008,
18448,618,3521,JoJo no Kimyou na Bouken (2000) (JoJo&#039;s Bizarre Adventure),"['Adventure', 'Drama', 'Fantasy', 'Horror', 'Shounen', 'Supernatural', 'Vampire']",OVA,['APPP'],2000-2000,Stitch! ~The Mischievous Alien's Great Adventure~,"['Aliens', 'Based on a Movie', 'Comedy', 'Family Friendly', 'Sci Fi']",TV,['MADHOUSE'],2009 - 2010,
18514,607,3536,Love Live! School Idol Project 2nd Season Recap,"['Music', 'School', 'Slice of Life']",OVA,"['None found', 'add some']",2015-2015,Idol Project,['Idols'],OVA,['Studio Live'],1995,
18522,2761,3536,Lemon Angel Project,"['Drama', 'Music']",TV,['Radix'],2006-2006,Idol Project,['Idols'],OVA,['Studio Live'],1995,
18631,3081,3557,Fushigi na Koala Blinky (Noozles),"['Adventure', 'Comedy', 'Fantasy', 'Kids']",TV,['Nippon Animation'],1984-1984,Fushigi na Somera-chan,"['Based on a Manga', 'Comedy', 'Superpowers']",TV,['Seven'],2015 - ?,
18842,2638,3596,Seikon no Qwaser (The Qwaser of Stigmata),"['Action', 'Ecchi', 'Shounen', 'Super Power', 'Supernatural']",TV,"['TAKI Corporation', 'Hoods Entertainment', 'Sentai Filmworks']",2010-2010,Seikon no Qwaser Picture Drama,"['Explicit Sex', 'Panty Shots', 'Picture Drama']",DVD Special,['Hoods Entertainment'],2010,
19024,2171,3650,Popolocrois Monogatari,"['Adventure', 'Fantasy']",TV,"['Bee Train', 'Production I.G', 'TV Tokyo', 'Aniplex']",1998-1999,Ai no Wakakusa Yama Monogatari,['Based on a Manga'],TV,['Gainax'],1999,
19097,3107,3656,Huckleberry Finn Monogatari,['Adventure'],TV,"['None found', 'add some']",1994-1995,Konchuu Monogatari Minashigo Hutch,"['Adventure', 'Animal Protagonists', 'Family Friendly']",TV,['Tatsunoko Pro.'],1970 - 1971,
19313,1125,3733,Teekyuu 2 Specials,"['Comedy', 'School', 'Shounen', 'Sports']",Special,"['MAPPA', 'Earth Star Entertainment']",2013-2013,Prism Ark Specials,"['[]""']""",DVD Special,[''],2007 - 2008,
19369,754,3751,Bari Bari Densetsu,"['Action', 'Drama', 'Shounen', 'Sports']",OVA,['Studio Pierrot'],1986-1986,Densetsu no Yuusha no Densetsu,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'Magic', 'Political', 'Violence', 'War']",TV,['Zexcs'],2010,
19400,240,3753,Mori no Densetsu (Legend of the Forest),"['Adventure', 'Drama', 'Fantasy', 'Music']",Movie,['Tezuka Productions'],1987-1987,The Legend of the Legendary Heroes,"['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'Magic', 'Political', 'Violence', 'War']",TV,['Zexcs'],2010,
19721,167,3787,Anne no Nikki (The Diary of Anne Frank),"['Drama', 'Historical']",Movie,"['Madhouse', 'TBS', 'Imagica']",1995-1995,The Familiar of Zero: Futatsuki no Kishi,"['Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic', 'Magic School', 'Master-Servant Relationship', 'Person in a Strange World', 'Tsundere']",TV,['J.C.Staff'],2007,
19787,407,3819,Working&#039;!! Announcement Specials,['Comedy'],ONA,['A-1 Pictures'],2011-2011,Sweet Valerian Specials,"['[]""']""",DVD Special,[''],2005,
20070,187,3877,Mirai Shounen Conan (Movie) (Future Boy Conan Movie),"['Adventure', 'Drama', 'Sci-Fi']",Movie,['Nippon Animation'],1979-1979,Alps no Shoujo Heidi Movie,['Based on a Novel'],Movie,['Nippon Animation'],1979,
20319,160,3970,Space Adventure Cobra (Space Adventure Cobra: The Movie),"['Action', 'Adventure', 'Sci-Fi', 'Space']",Movie,"['TMS Entertainment', 'Discotek']",1982-1982,Space Travelers: The Animation,"['Futuristic', 'Mercenaries', 'Outer Space', 'Sci Fi']",Movie,['Robot'],2000,
20326,626,3970,Koe de Oshigoto! The Animation (Koe de Oshigoto!),"['Comedy', 'Ecchi', 'Seinen']",OVA,"['Pony Canyon', 'Media Blasters', 'Studio Gokumi']",2010-2011,Space Travelers: The Animation,"['Futuristic', 'Mercenaries', 'Outer Space', 'Sci Fi']",Movie,['Robot'],2000,
20514,1097,3989,Galaxy Angel Specials,"['Comedy', 'Sci-Fi']",Special,"['Madhouse', 'Broccoli']",2002-2002,Smash Hit Specials,"['[]""']""",DVD Special,['Studio Live'],,
20757,1462,4075,Saiunkoku Monogatari (The Story of Saiunkoku),"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']",TV,"['Madhouse', 'FUNimation Entertainment', 'NHK', 'Sogo Vision']",2006-2007,Tokyo Daigaku Monogatari,"['Comedy', 'Drama', 'Mature Themes', 'Romance', 'School Life']",OVA,[''],2004,
20784,2231,4082,Mahou Senshi Louie (Rune Soldier),"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",TV,"['J.C.Staff', 'ADV Films']",2001-2001,Sugar Soldier,"['Romance', 'School Life', 'Shoujo']",TV,[''],2014,
20800,2148,4099,Ultra Maniac (Ultramaniac,"['Comedy', 'Magic', 'Romance', 'School', 'Shoujo']",TV,"['Production Reed', 'Wao World', 'Studio Jack']",2003-2003,Ultraman USA,"['Action', 'Adventure', 'Sci Fi']",Movie,['Ashi Productions'],1989,
